Source,Target,Weight
ts-train-service,ts-rebook-service,8
ts-train-service,ts-admin-order-service,8
ts-train-service,ts-admin-user-service,8
ts-train-service,ts-assurance-service,8
ts-train-service,ts-notification-service,8
ts-train-service,ts-seat-service,8
ts-train-service,ts-preserve-other-service,8
ts-train-service,ts-ticket-office-service,4
ts-train-service,ts-consign-price-service,8
ts-train-service,ts-inside-payment-service,8
ts-train-service,ts-price-service,8
ts-train-service,ts-travel2-service,7
ts-train-service,ts-admin-basic-info-service,8
ts-train-service,ts-admin-travel-service,8
ts-train-service,ts-cancel-service,8
ts-train-service,ts-voucher-service,2
ts-train-service,ts-food-service,8
ts-train-service,ts-travel-plan-service,7
ts-train-service,ts-payment-service,8
ts-train-service,ts-ticketinfo-service,8
ts-train-service,ts-news-service,3
ts-train-service,ts-admin-route-service,8
ts-train-service,ts-preserve-service,8
ts-train-service,ts-security-service,8
ts-train-service,ts-auth-service,5
ts-train-service,ts-verification-code-service,7
ts-train-service,ts-basic-service,8
ts-train-service,ts-order-service,8
ts-train-service,ts-food-map-service,8
ts-train-service,ts-route-plan-service,8
ts-train-service,ts-route-service,8
ts-train-service,ts-station-service,8
ts-train-service,ts-order-other-service,8
ts-train-service,ts-consign-service,8
ts-train-service,ts-user-service,5
ts-train-service,ts-execute-service,8
ts-train-service,ts-contacts-service,8
ts-train-service,ts-travel-service,7
ts-train-service,ts-config-service,8
ts-rebook-service,ts-admin-order-service,9
ts-rebook-service,ts-admin-user-service,9
ts-rebook-service,ts-assurance-service,8
ts-rebook-service,ts-notification-service,8
ts-rebook-service,ts-seat-service,9
ts-rebook-service,ts-preserve-other-service,9
ts-rebook-service,ts-ticket-office-service,4
ts-rebook-service,ts-consign-price-service,9
ts-rebook-service,ts-inside-payment-service,8
ts-rebook-service,ts-price-service,9
ts-rebook-service,ts-travel2-service,7
ts-rebook-service,ts-admin-basic-info-service,8
ts-rebook-service,ts-admin-travel-service,8
ts-rebook-service,ts-cancel-service,8
ts-rebook-service,ts-voucher-service,2
ts-rebook-service,ts-food-service,8
ts-rebook-service,ts-travel-plan-service,7
