Source,Target,Verb
ts-user-service,ts-admin-user-service,PUT
ts-user-service,ts-admin-user-service,GET
ts-user-service,ts-admin-user-service,DELETE
ts-basic-service,ts-ticketinfo-service,POST
ts-basic-service,ts-ticketinfo-service,GET
ts-price-service,ts-basic-service,GET
ts-train-service,ts-basic-service,GET
ts-station-service,ts-basic-service,GET
ts-route-service,ts-basic-service,GET
ts-order-service,ts-cancel-service,PUT
ts-order-other-service,ts-cancel-service,PUT
ts-notification-service,ts-cancel-service,POST
ts-inside-payment-service,ts-cancel-service,GET
ts-order-service,ts-cancel-service,GET
ts-user-service,ts-cancel-service,GET
ts-order-other-service,ts-cancel-service,GET
ts-travel2-service,ts-preserve-other-service,POST
ts-travel2-service,ts-admin-travel-service,POST
ts-travel2-service,ts-route-plan-service,POST
ts-travel2-service,ts-travel-plan-service,POST
ts-travel2-service,ts-admin-travel-service,PUT
ts-travel2-service,ts-admin-travel-service,GET
ts-travel2-service,ts-seat-service,GET
ts-travel2-service,ts-admin-travel-service,DELETE
ts-ticketinfo-service,ts-travel2-service,POST
ts-seat-service,ts-travel2-service,POST
ts-ticketinfo-service,ts-travel2-service,GET
ts-train-service,ts-travel2-service,GET
ts-route-service,ts-travel2-service,GET
ts-order-other-service,ts-travel2-service,GET
ts-price-service,ts-admin-basic-info-service,PUT
ts-price-service,ts-admin-basic-info-service,POST
ts-price-service,ts-admin-basic-info-service,GET
ts-price-service,ts-admin-basic-info-service,DELETE
ts-travel-service,ts-admin-travel-service,PUT
ts-travel-service,ts-admin-travel-service,POST
ts-travel-service,ts-route-plan-service,POST
ts-travel-service,ts-preserve-service,POST
ts-travel-service,ts-travel-plan-service,POST
ts-travel-service,ts-admin-travel-service,GET
ts-travel-service,ts-seat-service,GET
ts-travel-service,ts-food-service,GET
ts-travel-service,ts-admin-travel-service,DELETE
ts-ticketinfo-service,ts-travel-service,POST
ts-seat-service,ts-travel-service,POST
ts-ticketinfo-service,ts-travel-service,GET
ts-train-service,ts-travel-service,GET
ts-route-service,ts-travel-service,GET
ts-order-service,ts-travel-service,GET
ts-train-service,ts-admin-basic-info-service,PUT
ts-train-service,ts-admin-basic-info-service,POST
ts-train-service,ts-admin-basic-info-service,GET
ts-train-service,ts-admin-basic-info-service,DELETE
ts-assurance-service,ts-preserve-other-service,GET
ts-assurance-service,ts-preserve-service,GET
ts-auth-service,ts-user-service,POST
ts-verification-code-service,ts-auth-service,GET
ts-route-service,ts-admin-route-service,POST
ts-route-service,ts-admin-route-service,GET
ts-route-service,ts-route-plan-service,GET
ts-route-service,ts-admin-route-service,DELETE
ts-food-map-service,ts-food-service,POST
ts-food-map-service,ts-food-service,GET
ts-config-service,ts-admin-basic-info-service,POST
ts-contacts-service,ts-admin-basic-info-service,POST
ts-station-service,ts-admin-basic-info-service,POST
ts-config-service,ts-admin-basic-info-service,PUT
ts-contacts-service,ts-admin-basic-info-service,PUT
ts-station-service,ts-admin-basic-info-service,PUT
ts-config-service,ts-admin-basic-info-service,GET
ts-contacts-service,ts-admin-basic-info-service,GET
ts-station-service,ts-admin-basic-info-service,GET
ts-config-service,ts-admin-basic-info-service,DELETE
ts-contacts-service,ts-admin-basic-info-service,DELETE
ts-station-service,ts-admin-basic-info-service,DELETE
ts-security-service,ts-preserve-other-service,GET
ts-security-service,ts-preserve-service,GET
ts-order-service,ts-security-service,GET
ts-order-other-service,ts-security-service,GET
ts-user-service,ts-preserve-other-service,GET
ts-user-service,ts-preserve-service,GET
ts-order-service,ts-execute-service,GET
ts-order-other-service,ts-execute-service,GET
ts-ticketinfo-service,ts-preserve-other-service,POST
ts-ticketinfo-service,ts-preserve-service,POST
ts-ticketinfo-service,ts-travel-plan-service,GET
ts-food-service,ts-preserve-other-service,POST
ts-seat-service,ts-preserve-other-service,POST
ts-consign-service,ts-preserve-other-service,POST
ts-notification-service,ts-preserve-other-service,POST
ts-order-other-service,ts-preserve-other-service,POST
ts-contacts-service,ts-preserve-other-service,GET
ts-station-service,ts-preserve-other-service,GET
ts-route-plan-service,ts-travel-plan-service,POST
ts-station-service,ts-route-plan-service,GET
ts-order-service,ts-admin-order-service,PUT
ts-order-service,ts-seat-service,POST
ts-order-service,ts-preserve-service,POST
ts-order-service,ts-admin-order-service,POST
ts-order-service,ts-inside-payment-service,GET
ts-order-service,ts-admin-order-service,GET
ts-order-service,ts-admin-order-service,DELETE
ts-station-service,ts-order-service,POST
ts-consign-service,ts-preserve-service,POST
ts-consign-price-service,ts-consign-service,GET
ts-seat-service,ts-preserve-service,POST
ts-food-service,ts-preserve-service,POST
ts-notification-service,ts-preserve-service,POST
ts-contacts-service,ts-preserve-service,GET
ts-station-service,ts-preserve-service,GET
ts-order-other-service,ts-seat-service,POST
ts-order-other-service,ts-admin-order-service,POST
ts-order-other-service,ts-admin-order-service,PUT
ts-order-other-service,ts-inside-payment-service,GET
ts-order-other-service,ts-admin-order-service,GET
ts-order-other-service,ts-admin-order-service,DELETE
ts-station-service,ts-order-other-service,POST
ts-config-service,ts-seat-service,GET
ts-station-service,ts-food-service,GET
ts-station-service,ts-travel-plan-service,POST
ts-station-service,ts-rebook-service,GET
ts-payment-service,ts-inside-payment-service,POST
ts-inside-payment-service,ts-rebook-service,POST
ts-seat-service,ts-rebook-service,POST
ts-inside-payment-service,ts-rebook-service,GET
ts-seat-service,ts-travel-plan-service,POST
